PLAYER,CAP HIT,player_id
Brenden Dillon,3900000,dillobr01
Joonas Donskoi,3900000,donskjo01
Petr Mrázek,3800000,mrázepe01
Nick Foligno,3800000,foligni01
Nikita Zadorov,3750000,zadorni01
Boone Jenner,3750000,jennebo01
Matt Grzelcyk,3687500,grzelma01
Cam Talbot,3666667,talboca01
Ryan Suter,3650000,suterry01
Frank Vatrano,3650000,vatrafr01
Barclay Goodrow,3641667,goodrba01
Connor Brown,3600000,brownco01
Lars Eller,3500000,ellerla01
J.T. Compher,3500000,comphj.01
Pavel Zacha,3500000,zachapa01
Brandon Tanev,3500000,tanevbr01
Alexander Kerfoot,3500000,kerfoal01
Tristan Jarry,3500000,jarrytr01
Micheal Ferland,3500000,ferlami01
Joel Edmundson,3500000,edmunjo01
Chris Driedger,3500000,driedch01
Marc-André Fleury,3500000,fleurma01
David Savard,3500000,savarda01
Dylan Strome,3500000,stromdy01
Joel Armia,3400000,armiajo01
Vitek Vanecek,3400000,vanecvi01
Andreas Johnsson,3400000,johnsan01
Alexandar Georgiev,3400000,georgal01
Paul Byron,3400000,byronpa01
Kirby Dach,3362500,dachki01
Anton Khudobin,3333333,khudoan01
Marco Scandella,3275000,scandma01
Pius Suter,3250000,suterpi01
Tanner Pearson,3250000,pearsta01
Radek Faksa,3250000,faksara01
Adam Lowry,3250000,lowryad01
Mario Ferraro,3250000,ferrama01
MacKenzie Weegar,3250000,weegama01
Cody Ceci,3250000,cecico01
Miles Wood,3200000,woodmi01
Zack Kassian,3200000,kassiza01
Kasperi Kapanen,3200000,kapanka01
Ryan Graves,3166667,gravery01
Matt Roy,3150000,royma01
Roope Hintz,3150000,hintzro01
Nicholas Paul,3150000,paulni01
Jeff Carter,3125000,carteje01
Marcus Foligno,3100000,foligma01
Kailer Yamamoto,3100000,yamamka01
Craig Smith,3100000,smithcr01
Andreas Athanasiou,3000000,athanan01
Mike Reilly,3000000,reillmi01
Travis Hamonic,3000000,hamontr01
Ian Cole,3000000,coleia01
Ryan Lindgren,3000000,lindgry01
Scott Laughton,3000000,laughsc01
Jesse Puljujärvi,3000000,puljuje01
Martin Necas,3000000,necasma01
Jordan Greenway,3000000,greenjo01
Nicolas Roy,3000000,royni01
Anthony Duclair,3000000,duclaan01
Dylan DeMelo,3000000,demeldy01
Derek Forbort,3000000,forbode01
Justin Schultz,3000000,schulju01
Alex Nedeljkovic,3000000,nedelal01
Max Domi,3000000,domima01
Mathieu Joseph,2950000,josepma01
Erik Cernak,2950000,cernaer01
Denis Gurianov,2900000,guriade01
Jake Allen,2875000,allenja01
Colton Sissons,2857143,sissoco01
Brayden McNabb,2850000,mcnabbr01
Mackenzie Blackwood,2800000,blackma01
Jordan Kyrou,2800000,kyroujo01
Vladislav Gavrikov,2800000,gavrivl01
Robert Thomas,2800000,thomaro01
Ilya Lyubushkin,2750000,lyubuil01
Zach Whitecloud,2750000,whiteza01
Warren Foegele,2750000,foegewa01
Kaapo Kähkönen,2750000,kähköka01
Brock McGinn,2750000,mcginbr01
Carl Hagelin,2750000,hagelca01
Oskar Sundqvist,2750000,sundqos01
Luke Kunin,2750000,kuninlu01
Carson Soucy,2750000,soucyca01
Brett Kulak,2750000,kulakbr01
John Moore,2750000,moorejo01
Richard Pánik,2750000,pánikri01
Chandler Stephenson,2750000,stephch01
Anton Forsberg,2750000,forsban01
Jan Rutta,2750000,ruttaja01
Karel Vejmelka,2725000,vejmeka01
Gustav Forsling,2666667,forslgu01
Jason Dickinson,2650000,dickija01
Sean Walker,2650000,walkese01
Adam Boqvist,2600000,boqviad01
Philippe Myers,2550000,myersph01
Sean Kuraly,2500000,kuralse01
Alexander Romanov,2500000,romanal01
Patrik Nemeth,2500000,nemetpa01
Casey Mittelstadt,2500000,mitteca01
Oskar Lindblom,2500000,lindbos01
Tucker Poolman,2500000,poolmtu01
Henri Jokiharju,2500000,jokihhe01
Nick Jensen,2500000,jenseni01
Artem Zub,2500000,zubar01
Dominik Kubalik,2500000,kubaldo01
Nick Ritchie,2500000,ritchni01
Vladislav Namestnikov,2500000,namesvl01
Alexander Barabanov,2500000,barabal01
Casey Cizikas,2500000,cizikca01
Patrice Bergeron,2500000,bergepa01
Oliver Kylington,2500000,kylinol01
Radko Gudas,2500000,gudasra01
Jacob Middleton,2450000,middlja01
Dante Fabbro,2400000,fabbrda01
Erik Haula,2375000,haulaer01
Jake Bean,2333333,beanja01
Laurent Brossoit,2325000,brossla01
Dillon Dubé,2300000,dubédi01
Filip Chytil,2300000,chytifi01
Nicolas Hague,2294150,hagueni01
Radim Simek,2250000,simekra01
Ivan Barbashev,2250000,barbaiv01
Dmitry Kulikov,2250000,kulikdm01
James Reimer,2250000,reimeja01
Olli Määttä,2250000,määttol01
Pierre Engvall,2250000,engvapi01
Ethan Bear,2200000,bearet01
Teddy Blueger,2200000,bluegte01
Zemgus Girgensons,2200000,girgeze01
Mike Smith,2200000,smithmi01
Adin Hill,2175000,hillad01
Mason Appleton,2166667,applema01
Adam Erne,2100000,ernead01
Calle Järnkrok,2100000,järnkca01
Kaapo Kakko,2100000,kakkoka01
Nick Bonino,2050000,boninni01
Maxime Comtois,2037500,comtoma01
Martin Jones,2000000,jonesma01
Pavel Francouz,2000000,francpa01
Tyson Jost,2000000,jostty01
Nico Sturm,2000000,sturmni01
Justin Holl,2000000,hollju01
Jesper Fast,2000000,fastje01
Yegor Sharangovich,2000000,sharaye01
Antti Raanta,2000000,raantan01
Alex Goligoski,2000000,goligal01
Jérémy Lauzon,2000000,lauzojé01
Evan Rodrigues,2000000,rodriev01
Niko Mikkola,1900000,mikkoni01
Trevor Moore,1875000,mooretr01
Jacob Bryson,1850000,brysoja01
Colin Miller,1850000,milleco01
Filip Zadina,1825000,zadinfi01
Ilya Samsonov,1800000,samsoil01
Eric Comrie,1800000,comrier01
Isac Lundeström,1800000,lundeis01
Jordan Martinook,1800000,martijo01
Casey DeSmith,1800000,desmica01
Barrett Hayton,1775000,haytoba01
Travis Boyd,1750000,boydtr01
Nicolas Deslauriers,1750000,deslani01
Cal Clutterbuck,1750000,cluttca01
Tomas Nosek,1750000,nosekto01
Ryan Reaves,1750000,reavery01
Jake Evans,1700000,evansja01
Vinnie Hinostroza,1700000,hinosvi01
Yakov Trenin,1700000,treniya01
Ryan Hartman,1700000,hartmry01
Sean Durzi,1700000,durzise01
Blake Lizotte,1675000,lizotbl01
Eric Robinson,1600000,robiner01
Anders Bjork,1600000,bjorkan01
Juuso Välimäki,1550000,välimju01
Alexandre Texier,1525000,texieal01
Samuel Blais,1525000,blaissa01
Eetu Luostarinen,1500000,luostee01
Austin Watson,1500000,watsoau01
Luke Glendening,1500000,glendlu01
Garnet Hathaway,1500000,hathaga01
Travis Dermott,1500000,dermotr01
Jaroslav Halák,1500000,halákja01
Derek Grant,1500000,grantde01
David Kämpf,1500000,kämpfda01
Brett Howden,1500000,howdebr01
Conor Sheary,1500000,shearco01
Craig Anderson,1500000,andercr01
Brandon Hagel,1500000,hagelbr01
Kevin Lankinen,1500000,lankike01
Paul Stastny,1500000,stastpa01
Jani Hakanpää,1500000,hakanja01
Owen Tippett,1500000,tippeow01
Phil Kessel,1500000,kesseph01
Ondrej Kase,1500000,kaseon01
Markus Nutivaara,1500000,nutivma01
Matt Martin,1500000,martima01
Michael Rasmussen,1460000,rasmumi01
Troy Terry,1450000,terrytr01
Eeli Tolvanen,1450000,tolvaee01
Scott Mayfield,1450000,mayfisc01
Morgan Geekie,1400000,geekimo01
Keegan Kolesar,1400000,koleske01
Rasmus Sandin,1400000,sandira01
Tage Thompson,1400000,thompta01
Timothy Liljegren,1400000,liljeti01
William Carrier,1400000,carriwi01
Tyler Motte,1350000,mottety01
Chris Wagner,1350000,wagnech01
Brendan Lemieux,1350000,lemiebr01
Jordan Oesterle,1350000,oestejo01
Caleb Jones,1350000,jonesca01
Riley Stillman,1350000,stillri01
Nic Dowd,1300000,dowdni01
Nick Holden,1300000,holdeni01
Carl Grundström,1300000,grundca01
