Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
56,Pierre-Edouard Bellemare,36,TBL,LW,80,9,11,20,24,19,1.7,8,0,1,1,11,0,0,72,12.5,1101,1345,44,88,483,452,51.7,bellepi01
57,Kieffer Bellows,23,NYI,LW,45,6,13,19,-1,19,1.7,6,0,0,2,9,4,0,79,7.6,534,1152,14,103,0,1,0.0,belloki01
58,Alex Belzile,30,MTL,F,11,0,0,0,0,4,-0.2,0,0,0,0,0,0,0,13,0.0,114,1024,5,17,8,11,42.1,belzial01
59,Emil Bemstrom,22,CBJ,C,41,6,5,11,-1,4,0.8,6,0,0,1,5,0,0,62,9.7,431,1031,6,36,2,2,50.0,bemstem01
60,Matthew Beniers,19,SEA,C,10,3,6,9,-1,0,0.9,1,2,0,0,4,2,0,18,16.7,169,1656,4,7,39,53,42.4,beniema01
61,Jamie Benn,32,DAL,LW,82,18,28,46,-13,88,3.7,14,3,1,2,20,8,0,182,9.9,1373,1645,60,143,492,399,55.2,bennja01
62,Jordie Benn,34,MIN,D,39,1,7,8,1,10,0.9,1,0,0,0,7,0,0,37,2.7,584,1459,41,51,0,0,,bennjo01
63,Sam Bennett,25,FLA,C,71,28,21,49,27,74,5.8,23,5,0,7,16,4,1,241,11.6,1203,1657,27,119,411,466,46.9,bennesa01
64,Matt Benning,27,NSH,D,65,0,11,11,-24,39,0.2,0,0,0,0,11,0,0,61,0.0,1062,1620,67,82,0,0,,bennima01
65,Simon Benoit,23,ANA,D,53,1,4,5,-5,22,1.2,1,0,0,0,4,0,0,45,2.2,747,1406,39,168,0,0,,benoisi01
66,Tyler Benson,23,EDM,LW,29,1,1,2,-5,18,-0.3,1,0,0,0,1,0,0,18,5.6,248,833,3,45,0,1,0.0,bensoty01
67,Patrice Bergeron,36,BOS,C,73,25,40,65,26,32,7.6,17,8,0,4,22,15,3,293,8.5,1326,1810,45,78,991,609,61.9,bergepa01
68,Jacob Bernard-Docker,21,OTT,D,8,0,1,1,1,4,0.3,0,0,0,0,1,0,0,6,0.0,118,1446,3,4,0,0,,bernaja01
69,Tyler Bertuzzi,26,DET,LW,68,30,32,62,-11,47,6.4,23,6,1,5,23,8,1,180,16.7,1351,1952,41,65,6,17,26.1,bertuty01
