Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
177,Logan Couture,32,SJS,C,77,23,33,56,-11,18,5.4,16,5,2,3,20,12,1,199,11.6,1458,1856,58,92,621,654,48.7,coutulo01
178,Sean Couturier,29,PHI,C,29,6,11,17,-6,14,1.2,4,2,0,2,7,3,1,79,7.6,591,2024,18,22,238,190,55.6,coutuse01
179,Charlie Coyle,29,BOS,C,82,16,28,44,-6,32,3.4,13,3,0,5,21,6,1,131,12.2,1427,1724,39,84,540,560,49.1,coylech01
180,Dylan Cozens,20,BUF,C,79,13,25,38,-19,55,2.4,11,2,0,1,17,7,1,160,8.1,1256,1554,22,35,383,457,45.6,cozendy01
181,Joseph Cramarossa,29,MIN,C,1,0,1,1,0,2,0.1,0,0,0,0,1,0,0,1,0.0,7,655,0,1,0,0,,cramajo01
182,Kyle Criscuolo,29,DET,C,6,0,2,2,1,2,0.1,0,0,0,0,2,0,0,5,0.0,57,933,1,6,4,9,30.8,criscky01
183,Sidney Crosby,34,PIT,C,69,31,53,84,19,32,9.4,23,8,0,9,31,22,0,208,14.9,1378,1958,37,50,760,690,52.4,crosbsi01
184,Lawson Crouse,24,ARI,LW,65,20,14,34,-9,52,3.0,16,3,1,4,10,4,0,131,15.3,1133,1726,36,181,16,32,33.3,crousla01
185,Austin Czarnik,29,TOT,C,17,2,5,7,5,0,0.8,2,0,0,0,5,0,0,14,14.3,185,1054,7,3,23,36,39.0,czarnau01
186,Kirby Dach,21,CHI,C,70,9,17,26,-18,43,0.9,7,2,0,0,12,4,1,116,7.8,1263,1803,44,49,179,366,32.8,dachki01
187,Evgenii Dadonov,32,VEG,RW,78,20,23,43,4,18,4.2,15,5,0,4,20,3,0,177,11.3,1234,1549,25,65,1,4,20.0,dadonev01
188,Jonathan Dahlen,24,SJS,C,61,12,10,22,-25,12,1.3,9,3,0,2,6,4,0,105,11.4,841,1348,34,16,0,1,0.0,dahlejo01
189,Rasmus Dahlin,21,BUF,D,80,13,40,53,-22,68,7.1,10,3,0,3,21,18,1,170,7.6,1921,2401,91,121,0,0,,dahlira01
190,Carl Dahlstrom,27,TOR,D,3,0,2,2,2,2,0.4,0,0,0,0,2,0,0,4,0.0,41,1339,2,1,0,0,,dahlsca01
191,Michael Dal Colle,25,NYI,LW,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,2,0.0,15,1434,0,0,0,0,,dalcomi01
192,Zac Dalpe,32,FLA,RW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,6,608,1,2,1,3,25.0,dalpeza01
193,Riley Damiani,21,DAL,C,7,1,1,2,0,2,0.2,1,0,0,0,1,0,0,10,10.0,60,832,0,4,7,7,50.0,damiari01
194,Phillip Danault,28,LAK,C,79,27,24,51,14,38,6.1,25,2,0,5,19,2,3,194,13.9,1432,1808,49,74,676,586,53.6,danauph01
195,Justin Danforth,28,CBJ,RW,45,10,4,14,-5,10,1.1,10,0,0,1,3,1,0,72,13.9,566,1234,22,85,107,92,53.8,danfoju01
196,Laurent Dauphin,26,MTL,C,38,4,8,12,-10,25,0.4,4,0,0,0,8,0,0,50,8.0,505,1318,27,31,104,143,42.1,dauphla01
197,Jeremy Davies,25,NSH,D,6,0,2,2,-5,2,-0.1,0,0,0,0,2,0,0,5,0.0,74,1215,1,5,0,0,,davieje01
198,Sean Day,24,TBL,D,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,21,1043,2,4,0,0,,dayse01
199,Calvin de Haan,30,CHI,D,69,4,4,8,-21,33,1.4,4,0,0,0,4,0,0,107,3.7,1308,1857,172,146,0,0,,dehaaca01
200,Chase De Leo,26,NJD,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,16,809,0,5,0,2,0.0,deleoch01
201,Anthony DeAngelo,26,CAR,D,64,10,41,51,30,56,9.3,8,2,0,2,23,18,0,151,6.6,1268,1949,59,41,0,0,,deangan01
202,Alex DeBrincat,24,CHI,RW,82,41,37,78,-13,19,8.4,27,14,0,6,23,14,0,270,15.2,1710,2051,35,101,24,40,37.5,debrial01
203,Jake DeBrusk,25,BOS,LW,77,25,17,42,6,10,4.9,22,3,0,8,16,1,0,184,13.6,1158,1502,25,62,10,12,45.5,debruja01
204,Danny DeKeyser,31,DET,D,59,0,11,11,-8,26,1.5,0,0,0,0,11,0,0,57,0.0,1092,1830,102,49,0,0,,dekeyda01
205,Michael Del Zotto,31,OTT,D,26,3,10,13,-4,4,1.9,2,1,0,0,9,1,0,35,8.6,475,1815,34,42,0,0,,delzomi01
206,Ty Dellandrea,21,DAL,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,11,1037,0,3,1,2,33.3,dellaty01
207,Dylan DeMelo,28,WPG,D,76,1,12,13,10,28,3.1,0,0,1,0,11,0,1,78,1.3,1406,1830,108,113,0,0,,demeldy01
208,Grigori Denisenko,21,FLA,LW,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,16,1530,2,1,0,0,,denisgr01
209,Travis Dermott,25,TOT,D,60,2,5,7,9,14,2.1,2,0,0,1,5,0,0,46,4.3,920,1520,46,55,0,0,,dermotr01
210,Nicolas Deslauriers,30,TOT,LW,81,8,5,13,-11,113,0.2,7,0,1,1,5,0,0,90,8.9,921,1122,49,263,1,3,25.0,deslani01
211,Connor Dewar,22,MIN,C,35,2,4,6,-4,25,-0.1,2,0,0,1,3,1,0,44,4.5,346,954,22,48,62,71,46.6,dewarco01
212,Jason Dickinson,26,VAN,C,62,5,6,11,-1,19,0.2,5,0,0,0,6,0,0,66,7.6,809,1303,43,101,123,166,42.6,dickija01
213,Brenden Dillon,31,WPG,D,79,3,17,20,16,67,4.5,3,0,0,0,17,0,0,85,3.5,1488,1850,108,212,0,0,,dillobr01
214,Cam Dineen,23,ARI,D,34,0,7,7,-16,4,0.1,0,0,0,0,7,0,0,52,0.0,532,1538,44,22,0,0,,dineeca01
215,Noah Dobson,22,NYI,D,80,13,38,51,-3,18,8.3,10,3,0,4,19,19,0,190,6.8,1717,2128,154,78,0,0,,dobsono01
216,Max Domi,26,TOT,LW,72,11,28,39,10,55,3.6,11,0,0,1,24,4,0,104,10.6,939,1302,9,24,39,47,45.3,domima01
217,Ryan Donato,25,SEA,C,74,16,15,31,-13,40,2.6,15,1,0,2,15,0,0,159,10.1,1021,1348,17,70,15,23,39.5,donatry01
218,Joonas Donskoi,29,SEA,RW,75,2,20,22,-10,14,0.4,2,0,0,0,16,3,1,89,2.2,1113,1450,31,36,5,9,35.7,donskjo01
219,Pavel Dorofeyev,21,VEG,LW,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,1,0.0,13,630,1,0,0,0,,dorofpa01
220,Drew Doughty,32,LAK,D,39,7,24,31,4,30,5.1,3,4,0,1,15,9,0,99,7.1,1004,2544,53,60,0,0,,doughdr01
221,Nic Dowd,31,WSH,C,64,10,14,24,10,44,2.2,9,0,1,0,13,1,0,90,11.1,913,1416,53,139,506,437,53.7,dowdni01
222,Justin Dowling,31,VAN,C,22,2,2,4,-3,2,0.1,2,0,0,0,2,0,0,17,11.8,211,935,9,10,21,19,52.5,dowliju01
223,Leon Draisaitl,26,EDM,C,80,55,55,110,17,40,13.3,30,24,1,11,38,17,0,278,19.8,1788,2221,25,53,887,774,53.4,draisle01
224,Hunter Drew,23,ANA,D,2,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,,20,952,0,5,0,0,,drewhu01
225,Sheldon Dries,27,VAN,C,11,2,1,3,-3,0,0.2,1,1,0,1,1,0,0,17,11.8,113,1018,6,9,7,14,33.3,driessh01
226,Jonathan Drouin,26,MTL,LW,34,6,14,20,-9,23,1.3,6,0,0,0,10,4,0,62,9.7,581,1706,11,27,31,35,47.0,drouijo01
227,Jack Drury,21,CAR,C,2,2,0,2,3,2,0.4,2,0,0,0,0,0,0,6,33.3,32,1558,2,4,12,3,80.0,druryja01
228,Jamie Drysdale,19,ANA,D,81,4,28,32,-26,16,3.6,4,0,0,1,16,12,0,137,2.9,1610,1953,72,40,0,0,,drysdja01
229,Dillon Dube,23,CGY,C,79,18,14,32,1,20,3.1,15,2,1,1,11,1,2,143,12.6,1014,1250,15,87,92,102,47.4,dubedi01
230,Pierre-Luc Dubois,23,WPG,LW,81,28,32,60,-6,106,5.8,13,15,0,6,28,4,0,233,12.0,1533,1855,43,112,532,603,46.9,duboipi01
231,Matt Duchene,31,NSH,C,78,43,43,86,6,38,10.0,27,16,0,6,30,13,0,228,18.9,1483,1901,28,31,119,101,54.1,duchema01
232,Anthony Duclair,26,FLA,LW,74,31,27,58,19,30,6.9,22,9,0,5,15,12,0,167,18.6,1110,1500,16,38,1,1,50.0,duclaan01
233,Walker Duehr,24,CGY,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,9,847,0,0,0,0,,duehrwa01
234,Brandon Duhaime,24,MIN,RW,80,6,11,17,-2,122,0.4,6,0,0,1,11,0,0,91,6.6,817,1013,18,201,8,20,28.6,duhaibr01
235,Mathew Dumba,27,MIN,D,57,7,20,27,9,47,3.9,6,1,0,1,16,4,0,116,6.0,1317,2306,84,114,0,0,,dumbama01
236,Brian Dumoulin,30,PIT,D,76,3,15,18,24,24,5.2,3,0,0,0,15,0,0,91,3.3,1658,2149,139,88,0,0,,dumoubr01
237,Vince Dunn,25,SEA,D,73,7,28,35,-21,63,4.1,5,2,0,0,19,9,0,121,5.8,1509,2041,82,76,0,0,,dunnvi02
238,Sean Durzi,23,LAK,D,64,3,24,27,-9,55,3.6,1,2,0,0,10,13,1,119,2.5,1254,1936,121,74,0,0,,durzise01
239,Christian Dvorak,25,MTL,C,56,11,22,33,-19,24,2.0,10,1,0,1,18,4,0,87,12.6,973,1722,52,32,548,419,56.7,dvorach01
240,Ryan Dzingel,29,TOT,C,32,5,3,8,-5,35,0.4,5,0,0,1,3,0,0,32,15.6,439,1343,9,20,65,88,42.5,dzingry01
241,Cody Eakin,30,BUF,C,69,4,8,12,-15,22,-0.4,3,1,0,1,6,1,1,74,5.4,938,1335,29,33,482,378,56.0,eakinco01
242,Jordan Eberle,31,SEA,RW,79,21,23,44,-28,14,3.2,17,4,0,2,18,5,0,164,12.8,1418,1757,40,48,6,14,30.0,eberljo01
243,Alexander Edler,35,LAK,D,41,3,16,19,18,34,4.3,3,0,0,1,15,0,1,54,5.6,757,1828,70,56,0,0,,edleral01
244,Joel Edmundson,28,MTL,D,24,3,3,6,-1,35,1.2,3,0,0,0,3,0,0,32,9.4,470,1935,45,61,0,0,,edmunjo01
245,Nikolaj Ehlers,25,WPG,LW,62,28,27,55,18,20,6.8,24,4,0,2,22,5,0,245,11.4,1120,1804,27,32,2,1,66.7,ehlerni01
246,Jack Eichel,25,VEG,C,34,14,11,25,3,10,2.8,11,3,0,2,6,5,0,133,10.5,659,1924,35,45,184,195,48.5,eicheja01
247,Aaron Ekblad,25,FLA,D,61,15,42,57,38,26,9.5,12,3,0,2,22,17,3,180,8.3,1520,2455,69,62,0,0,,ekblaaa01
248,Mattias Ekholm,31,NSH,D,76,6,25,31,14,44,6.0,6,0,0,1,20,4,1,145,4.1,1784,2329,96,79,0,0,,ekholma01
249,William Eklund,19,SJS,LW,9,0,4,4,-3,2,0.1,0,0,0,0,1,3,0,8,0.0,129,1420,4,4,3,5,37.5,eklunwi01
250,Oliver Ekman-Larsson,30,VAN,D,79,5,24,29,5,52,5.5,2,3,0,1,17,7,0,168,3.0,1763,2219,79,105,0,0,,ekmanol01
251,Remi Elie,26,TBL,LW,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,11,1057,0,3,0,0,,eliere01
252,Lars Eller,32,WSH,C,72,13,18,31,-4,40,2.2,13,0,0,2,16,2,0,116,11.2,1161,1607,36,95,510,521,49.5,ellerla01
253,Ryan Ellis,31,PHI,D,4,1,4,5,2,0,0.8,1,0,0,0,2,2,0,6,16.7,91,2248,6,1,0,0,,ellisry01
254,Turner Elson,29,DET,LW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,27,1323,1,3,0,0,,elsontu01
255,Pierre Engvall,25,TOR,LW,78,15,20,35,13,30,3.3,12,1,2,3,17,2,1,154,9.7,1036,1317,12,66,29,40,42.0,engvapi01
256,Tyler Ennis,32,OTT,C,57,8,16,24,-6,16,1.9,7,1,0,1,13,3,0,89,9.0,715,1233,24,70,20,9,69.0,ennisty01
257,Mackenzie Entwistle,22,CHI,RW,55,5,7,12,-16,23,0.2,4,0,1,0,7,0,0,34,14.7,563,1015,22,129,18,27,40.0,entwima01
258,Loui Eriksson,36,ARI,LW,73,3,16,19,-18,6,-0.1,2,0,1,0,15,1,0,81,3.7,943,1255,23,17,20,16,55.6,erikslo01
259,Joel Eriksson Ek,25,MIN,C,77,26,23,49,16,28,4.8,14,12,0,3,18,5,0,223,11.7,1431,1835,44,138,697,768,47.6,eriksjo02
260,Adam Erne,26,DET,LW,79,6,13,19,-22,34,-0.1,6,0,0,1,13,0,0,108,5.6,1057,1323,43,161,34,31,52.3,ernead01
261,Jake Evans,25,MTL,C,72,13,16,29,-5,22,2.1,13,0,0,0,15,0,1,124,10.5,1123,1536,37,88,461,465,49.8,evansja02
262,Michael Eyssimont,25,WPG,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,6,549,0,0,0,0,,eyssimi01
263,Robby Fabbri,26,DET,C,56,17,13,30,-23,35,2.2,11,6,0,1,11,2,0,123,13.8,970,1720,19,86,54,55,49.5,fabbrro01
264,Dante Fabbro,23,NSH,D,66,3,21,24,13,24,4.5,3,0,0,0,21,0,0,88,3.4,1257,1903,105,69,0,0,,fabbrda01
265,Samuel Fagemo,21,LAK,LW,4,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,5,0.0,55,1343,3,2,0,0,,fagemsa01
266,Radek Faksa,28,DAL,C,77,5,14,19,-20,52,-0.2,3,1,1,1,13,0,1,89,5.6,1214,1546,68,129,383,312,55.1,faksara01
267,Joel Farabee,21,PHI,LW,63,17,17,34,-11,50,2.9,15,1,1,1,15,2,0,119,14.3,1108,1735,38,73,41,102,28.7,farabjo01
268,Hudson Fasching,26,ARI,RW,11,0,0,0,-3,0,-0.3,0,0,0,0,0,0,0,3,0.0,109,953,6,16,1,0,100.0,faschhu01
269,Jesper Fast,30,CAR,RW,82,14,20,34,24,4,3.5,13,1,0,1,18,1,1,97,14.4,1214,1449,36,109,12,17,41.4,fastje01
270,Justin Faulk,29,STL,D,76,16,31,47,41,43,9.8,15,1,0,6,25,6,0,167,9.6,1763,2312,101,149,0,0,,faulkju01
271,Martin Fehervary,22,WSH,D,79,8,9,17,15,26,4.7,7,0,1,2,8,0,1,96,8.3,1553,1939,117,251,0,0,,feherma01
272,Mario Ferraro,23,SJS,D,63,2,12,14,-5,16,3.5,2,0,0,1,12,0,0,49,4.1,1449,2300,151,140,0,0,,ferrama01
273,Kevin Fiala,25,MIN,LW,82,33,52,85,23,52,9.2,27,5,1,7,40,12,0,262,12.6,1447,1739,21,52,4,11,26.7,fialake01
274,Christian Fischer,24,ARI,RW,53,5,5,10,-15,14,-0.2,4,1,0,0,5,0,0,76,6.6,695,1307,22,91,76,147,34.1,fischch01
275,Casey Fitzgerald,24,BUF,D,36,0,6,6,-19,36,-0.1,0,0,0,0,6,0,0,41,0.0,608,1653,35,86,0,0,,fitzgca01
276,Trey Fix-Wolansky,22,CBJ,RW,6,1,1,2,-1,0,0.2,1,0,0,0,1,0,0,5,20.0,38,617,4,7,0,0,,fixwotr01
277,Cale Fleury,23,SEA,D,9,0,0,0,-3,0,-0.1,0,0,0,0,0,0,0,4,0.0,131,1434,14,19,0,0,,fleurca01
278,Haydn Fleury,25,SEA,D,36,2,2,4,0,13,1.2,2,0,0,1,2,0,0,52,3.8,586,1617,62,60,0,0,,fleurha01
279,Warren Foegele,25,EDM,LW,82,12,14,26,-9,24,1.5,10,2,0,3,13,1,0,142,8.5,1034,1237,15,127,13,15,46.4,foegewa01
280,Steven Fogarty,28,BOS,C,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,2,0.0,21,1018,0,0,7,10,41.2,fogarst01
281,Marcus Foligno,30,MIN,LW,74,23,19,42,25,112,4.6,18,5,0,3,17,2,0,98,23.5,1214,1624,42,238,12,8,60.0,foligma01
282,Nick Foligno,34,BOS,LW,64,2,11,13,-13,61,-0.2,2,0,0,0,10,1,0,99,2.0,798,1228,31,164,22,17,56.4,foligni01
283,Callan Foote,23,TBL,D,56,2,7,9,6,29,2.1,2,0,0,0,7,0,0,49,4.1,735,1308,57,83,0,0,,footeca01
284,Nolan Foote,21,NJD,LW,7,3,1,4,3,0,0.7,3,0,0,0,1,0,0,10,30.0,73,1022,1,8,0,3,0.0,footeno01
285,Derek Forbort,29,BOS,D,76,4,10,14,2,48,3.4,4,0,0,1,9,0,1,64,6.3,1376,1807,100,133,0,0,,forbode01
286,Alex Formenton,22,OTT,LW,79,18,14,32,-13,59,2.7,13,0,5,1,13,0,1,162,11.1,1221,1527,24,101,8,12,40.0,formeal01
287,Filip Forsberg,27,NSH,C,69,42,42,84,12,22,10.3,32,10,0,8,25,17,0,226,18.6,1249,1806,48,112,1,0,100.0,forsbfi01
288,Gustav Forsling,25,FLA,D,71,10,27,37,41,18,7.3,10,0,0,1,27,0,0,145,6.9,1507,2113,86,45,0,0,,forslgu02
289,Gabriel Fortier,21,TBL,LW,10,1,0,1,-2,4,0.0,1,0,0,0,0,0,0,14,7.1,93,917,5,24,1,0,100.0,fortiga01
290,Liam Foudy,21,CBJ,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,12,1151,0,1,0,0,,foudyli01
291,Cam Fowler,30,ANA,D,76,9,33,42,-9,14,6.6,3,6,0,1,21,12,0,124,7.3,1856,2425,116,37,0,0,,fowleca01
292,Adam Fox,23,NYR,D,78,11,63,74,18,26,11.8,10,0,1,2,29,33,1,158,7.0,1865,2354,128,30,0,0,,foxad01
293,Trent Frederic,23,BOS,C,60,8,10,18,10,57,1.8,8,0,0,1,10,0,0,100,8.0,699,1139,22,119,35,54,39.3,fredetr01
294,Mark Friedman,26,PIT,D,26,1,4,5,1,23,0.9,1,0,0,1,4,0,0,27,3.7,345,1317,25,27,0,0,,friedma01
295,Martin Frk,28,LAK,RW,6,2,0,2,-4,2,0.1,0,2,0,0,0,0,0,15,13.3,84,1402,0,11,0,0,,frkma01
296,Jesper Froden,27,BOS,F,7,1,0,1,4,2,0.2,1,0,0,0,0,0,0,10,10.0,90,1252,5,8,0,0,,frodeje01
297,Morgan Frost,22,PHI,C,55,5,11,16,-11,14,0.5,4,1,0,0,10,1,0,85,5.9,766,1355,29,44,226,241,48.4,frostmo01
298,Kurtis Gabriel,28,CHI,RW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,12,602,0,7,0,0,,gabriku01
299,Jonah Gadjovich,23,SJS,LW,43,1,2,3,-9,74,-0.4,1,0,0,0,2,0,0,36,2.8,377,845,14,104,1,2,33.3,gadjojo01
300,Sam Gagner,32,DET,C,81,13,18,31,-4,32,2.4,12,0,1,0,17,1,0,132,9.8,1103,1337,25,21,142,162,46.7,gagnesa01
301,Alex Galchenyuk,27,ARI,C,60,6,15,21,-11,32,0.9,6,0,0,0,14,1,0,89,6.7,789,1309,24,67,214,195,52.3,galchal01
302,Brendan Gallagher,29,MTL,RW,56,7,17,24,-7,69,1.4,2,5,0,0,15,2,0,142,4.9,841,1501,29,54,13,22,37.1,gallabr01
303,Jakub Galvas,22,CHI,D,6,0,0,0,0,0,0.1,0,0,0,0,0,0,0,8,0.0,109,1810,9,2,0,0,,galvaja01
304,Dylan Gambrell,25,OTT,C,63,3,4,7,2,12,0.0,2,0,1,0,4,0,0,58,5.2,765,1208,39,103,295,309,48.8,gambrdy01
305,Rhett Gardner,25,DAL,C,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,32,806,1,5,5,6,45.5,gardnrh01
306,Conor Garland,25,VAN,RW,77,19,33,52,18,36,5.6,18,1,0,3,31,2,0,203,9.4,1263,1624,22,52,5,5,50.0,garlaco01
307,Adam Gaudette,25,TOT,C,58,5,9,14,-9,17,0.6,3,2,0,1,9,0,0,94,5.3,657,1119,10,72,56,71,44.1,gaudead01
308,Frederick Gaudreau,28,MIN,C,76,14,30,44,12,8,3.4,13,1,0,4,26,2,2,132,10.6,1240,1619,43,48,461,461,50.0,gaudrfr01
309,Johnny Gaudreau,28,CGY,LW,82,40,75,115,64,26,14.7,34,6,0,9,56,19,0,262,15.3,1523,1834,9,10,1,0,100.0,gaudrjo01
310,Brendan Gaunce,27,CBJ,C,30,5,2,7,2,12,0.8,5,0,0,0,2,0,0,44,11.4,243,806,9,42,66,60,52.4,gauncbr01
311,Frederik Gauthier,26,NJD,C,8,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,4,0.0,89,1106,3,16,33,42,44.0,gauthfr01
312,Julien Gauthier,24,NYR,RW,49,3,4,7,-9,8,-0.1,3,0,0,1,4,0,0,69,4.3,505,1018,14,98,1,2,33.3,gauthju01
313,Vladislav Gavrikov,26,CBJ,D,80,5,28,33,-3,68,4.6,5,0,0,1,27,0,1,108,4.6,1783,2217,138,124,0,0,,gavrivl01
314,Glenn Gawdin,24,CGY,C,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,18,915,1,1,3,8,27.3,gawdigl01
315,Morgan Geekie,23,SEA,C,73,7,15,22,-16,18,0.9,7,0,0,0,11,4,0,97,7.2,920,1236,23,55,351,318,52.5,geekimo01
316,Mason Geertsen,26,NJD,D,25,0,0,0,-6,77,-0.3,0,0,0,0,0,0,0,12,0.0,174,657,7,58,0,0,,geertma01
317,Timothy Gettinger,23,NYR,LW,8,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,3,0.0,76,928,5,15,2,2,50.0,gettiti01
318,Ryan Getzlaf,36,ANA,C,56,3,34,37,-14,29,1.8,1,2,0,1,25,9,0,104,2.9,1062,1857,56,89,546,479,53.3,getzlry01
319,Mark Giordano,38,TOT,D,75,8,27,35,-9,57,4.9,6,0,2,1,15,12,0,151,5.3,1566,2053,139,75,0,0,,giordma01
320,Samuel Girard,23,COL,D,67,5,23,28,-4,20,3.5,5,0,0,1,16,7,0,79,6.3,1450,2139,90,65,0,0,,girarsa01
321,Zemgus Girgensons,28,BUF,C,56,10,8,18,-7,27,1.3,7,3,0,1,7,1,0,92,10.9,828,1447,25,81,143,144,49.8,girgeze01
322,Claude Giroux,34,TOT,C,75,21,44,65,-5,26,5.9,16,5,0,0,26,18,0,205,10.2,1430,1904,16,68,733,483,60.3,giroucl01
323,Cody Glass,22,NSH,C,8,0,1,1,0,0,-0.1,0,0,0,0,1,0,0,9,0.0,91,1125,4,13,20,37,35.1,glassco01
324,Luke Glendening,32,DAL,C,82,9,7,16,-17,15,0.1,9,0,0,1,5,0,2,116,7.8,1157,1407,59,179,425,299,58.7,glendlu01
325,Alex Goligoski,36,MIN,D,72,2,28,30,41,34,6.1,2,0,0,0,24,4,0,80,2.5,1363,1856,96,56,0,0,,goligal01
326,Barclay Goodrow,28,NYR,RW,79,13,20,33,13,69,2.9,12,0,1,2,17,0,3,116,11.2,1320,1643,54,130,366,375,49.4,goodrba01
327,Shayne Gostisbehere,28,ARI,D,82,14,37,51,-23,26,6.6,12,2,0,2,20,17,0,151,9.3,1820,2211,115,60,0,0,,gostish01
328,Yanni Gourde,30,SEA,C,74,21,27,48,-13,45,4.2,17,3,1,3,20,4,3,127,16.5,1368,1829,31,77,444,453,49.5,gourdya01
329,Mikael Granlund,29,NSH,C,80,11,53,64,-9,33,4.1,8,3,0,3,28,25,0,117,9.4,1633,2025,45,92,569,637,47.2,granlmi01
330,Derek Grant,31,ANA,C,71,15,14,29,-16,27,2.2,12,2,1,1,13,0,1,117,12.8,1016,1419,49,69,204,216,48.6,grantde01
331,Ryan Graves,26,NJD,D,75,6,22,28,-9,24,4.1,6,0,0,0,22,0,0,111,5.4,1554,2043,135,90,0,0,,gravery01
332,Anthony Greco,28,NYR,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,10,944,1,1,0,0,,grecoan01
333,Andy Greene,39,NYI,D,69,2,8,10,-13,10,1.8,2,0,0,0,8,0,0,52,3.8,1201,1725,126,39,0,0,,greenan01
334,Jordan Greenway,24,MIN,LW,62,10,17,27,26,69,2.6,9,1,0,3,16,1,0,110,9.1,903,1434,31,155,18,31,36.7,greenjo02
335,A.J. Greer,25,NJD,LW,9,1,1,2,0,2,0.2,1,0,0,0,1,0,0,14,7.1,71,751,3,20,2,1,66.7,greeraj01
336,Noah Gregor,23,SJS,C,63,8,15,23,-21,25,1.0,8,0,0,1,12,3,0,156,5.1,941,1456,49,118,12,23,34.3,gregono01
337,Seth Griffith,29,EDM,C,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,,6,537,0,1,0,0,,griffse01
338,Rocco Grimaldi,28,NSH,C,7,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,8,0.0,77,1056,0,5,6,3,66.7,grimaro01
339,Jordan Gross,26,COL,D,1,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0,,8,819,0,1,0,0,,grossjo01
340,Benoit-Olivier Groulx,21,ANA,C,18,1,2,3,0,2,0.1,1,0,0,0,2,0,0,17,5.9,198,1100,6,19,38,45,45.8,groulbe01
341,Carl Grundstrom,24,LAK,RW,54,9,6,15,4,26,1.6,9,0,0,1,6,0,0,83,10.8,588,1053,19,134,6,13,31.6,grundca01
342,Matt Grzelcyk,28,BOS,D,73,4,20,24,22,24,5.8,4,0,0,2,15,5,0,118,3.4,1367,1844,83,40,0,0,,grzelma01
343,Radko Gudas,31,FLA,D,77,3,13,16,27,105,3.6,2,0,1,0,13,0,0,100,3.0,1387,1801,118,355,0,0,,gudasra01
344,Erik Gudbranson,30,CGY,D,78,6,11,17,15,68,4.2,6,0,0,0,11,0,0,129,4.7,1415,1808,92,145,0,0,,gudbrer01
345,Jake Guentzel,27,PIT,C,76,40,44,84,13,44,9.7,33,7,0,7,29,15,0,264,15.2,1527,2006,38,72,13,12,52.0,guentja01
346,Brendan Guhle,24,ANA,D,6,0,0,0,0,0,0.1,0,0,0,0,0,0,0,6,0.0,88,1440,4,11,0,0,,guhlebr01
347,Denis Gurianov,24,DAL,RW,73,11,20,31,2,16,2.6,7,4,0,2,17,3,0,144,7.6,1036,1411,32,67,0,0,,guriade01
348,David Gustafsson,21,WPG,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,5,228,0,0,0,4,0.0,gustada01
349,Erik Gustafsson,29,CHI,D,59,3,15,18,-4,14,3.0,3,0,0,0,11,4,0,79,3.8,957,1613,55,45,0,0,,gustaer02
350,Brandon Hagel,23,TOT,LW,77,25,19,44,-18,31,4.0,20,4,1,3,15,2,2,125,20.0,1259,1621,32,63,24,33,42.1,hagelbr01
351,Carl Hagelin,33,WSH,LW,53,3,11,14,10,20,0.8,3,0,0,1,10,0,1,71,4.2,755,1414,12,32,4,10,28.6,hagelca01
352,Robert Hagg,26,TOT,D,64,1,8,9,-9,35,1.2,1,0,0,0,8,0,0,59,1.7,1025,1601,102,138,0,0,,haggro01
353,Nicolas Hague,23,VEG,D,52,4,10,14,6,38,2.9,4,0,0,0,10,0,0,116,3.4,970,1840,80,57,0,0,,hagueni01
354,Libor Hajek,23,NYR,D,17,0,1,1,-10,8,-0.3,0,0,0,0,1,0,0,12,0.0,223,1308,26,7,0,0,,hajekli01
